path,kind,extension,size_bytes,is_markdown,is_asset,path_has_chinese,path_decoded_has_chinese,chinese_filename,decoded_filename,chinese_asset_name,decoded_asset_name,needs_filename_migration,has_chinese_headings,chinese_heading_count,chinese_headings,has_chinese_markdown_links,chinese_markdown_link_count,chinese_markdown_links,has_chinese_code_comments,chinese_code_comment_count,chinese_code_comments,review_reason,proposed_english_path,translation_status,notes
docs/.nojekyll,text,,0,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/README.md,markdown,.md,78,yes,no,no,no,,,,,no,yes,1,L1:H1:😃 该网站已迁移至 >>> [www.cyc2018.xyz](http://www.cyc2018.xyz),no,0,,no,0,,Chinese headings,,not_started,
docs/_404.md,markdown,.md,74,yes,no,no,no,,,,,no,yes,1,L1:H1:😃 该网站已迁移至 >>> [www.cyc2018.xyz](http://www.cyc2018.xyz),no,0,,no,0,,Chinese headings,,not_started,
docs/_coverpage.md,markdown,.md,729,yes,no,no,no,,,,,no,no,0,,yes,1,L10:markdown_inline:开始阅读->http://www.cyc2018.xyz,no,0,,Chinese Markdown/HTML links,,not_started,
docs/_media/LogoMakr_1J56bI.png,asset,.png,57583,no,yes,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_media/logomakr-3sxxzw-128x128.png,asset,.png,2318,no,yes,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_media/公众号.jpg,asset,.jpg,27415,no,yes,yes,yes,公众号.jpg,,公众号.jpg,,yes,no,0,,no,0,,no,0,,Chinese filename; Chinese asset name,docs/_media/wechat-official-account.jpg,proposed,
docs/_style/prism-master/.editorconfig,text,,209,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/.gitattributes,text,,110,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/.gitignore,text,,40,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/.npmignore,text,,252,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/.travis.yml,code,.yml,460,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/CHANGELOG.md,markdown,.md,99994,yes,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/CNAME,text,,11,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/LICENSE,text,,1066,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/README.md,markdown,.md,2436,yes,no,no,no,,,,,no,no,0,,yes,1,L30:markdown_inline:![中文说明->http://awesomes.oss-cn-beijing.aliyuncs.com/readme.png,no,0,,Chinese Markdown/HTML links,,not_started,
docs/_style/prism-master/bower.json,text,.json,586,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/code.js,code,.js,3811,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components.js,code,.js,12058,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components.json,text,.json,15942,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/index.js,code,.js,2157,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-abap.js,code,.js,8657,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-abap.min.js,code,.js,7924,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-actionscript.js,code,.js,829,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-actionscript.min.js,code,.js,760,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-ada.js,code,.js,962,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-ada.min.js,code,.js,891,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-apacheconf.js,code,.js,10539,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-apacheconf.min.js,code,.js,10305,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-apl.js,code,.js,874,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-apl.min.js,code,.js,757,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-applescript.js,code,.js,1866,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-applescript.min.js,code,.js,1769,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-arduino.js,code,.js,3910,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-arduino.min.js,code,.js,3890,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-arff.js,code,.js,232,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-arff.min.js,code,.js,192,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-asciidoc.js,code,.js,8978,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-asciidoc.min.js,code,.js,5962,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-asm6502.js,code,.js,930,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-asm6502.min.js,code,.js,824,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-aspnet.js,code,.js,1301,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-aspnet.min.js,code,.js,1014,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-autohotkey.js,code,.js,8995,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-autohotkey.min.js,code,.js,8727,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-autoit.js,code,.js,1055,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-autoit.min.js,code,.js,819,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-bash.js,code,.js,4088,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-bash.min.js,code,.js,3129,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-basic.js,code,.js,1902,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-basic.min.js,code,.js,1834,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-batch.js,code,.js,2427,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-batch.min.js,code,.js,1597,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-bison.js,code,.js,973,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-bison.min.js,code,.js,586,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-brainfuck.js,code,.js,299,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-brainfuck.min.js,code,.js,226,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-bro.js,code,.js,1346,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-bro.min.js,code,.js,1185,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-c.js,code,.js,1482,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-c.min.js,code,.js,1115,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-cil.js,code,.js,2262,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-cil.min.js,code,.js,2139,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-clike.js,code,.js,837,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-clike.min.js,code,.js,713,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-clojure.js,code,.js,2923,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-clojure.min.js,code,.js,2800,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-coffeescript.js,code,.js,2011,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-coffeescript.min.js,code,.js,1363,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-core.js,code,.js,13216,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-core.min.js,code,.js,6494,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-cpp.js,code,.js,1112,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-cpp.min.js,code,.js,1051,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-crystal.js,code,.js,1288,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-crystal.min.js,code,.js,1035,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-csharp.js,code,.js,2391,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-csharp.min.js,code,.js,1937,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-csp.js,code,.js,792,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-csp.min.js,code,.js,564,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-css-extras.js,code,.js,727,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
docs/_style/prism-master/components/prism-css-extras.min.js,code,.js,615,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
